TCGA	Tissue	ESTIMATE	Protein	CDH11	CDH1	CTNNB1	CD3E	CD8A
TCGA-06-0644	gbm	842.67613	-0.212772618461374	12.3257	4.1086	13.3611	6.9547	6.3123
TCGA-AO-A03O	brca	331.36391	-0.5425253	10.0014	13.3941	13.606	8.4669	7.4496
TCGA-BP-4352	kirc	-249.33958	-0.693710335383199	9.2753	8.2508	11.9105	6.5433	5.4613
TCGA-AG-3731	read	793.96732	1.61717896168061	11.0618	13.3276	13.4255	8.4259	8.3212
TCGA-FY-A3WA	thca	-1145.18450	-0.993314573692	5.4998	14.8373	13.5597	4.8311	6.0642
TCGA-FD-A3SN	blca	-256.77230	0.301690124	9.8997	14.3264	12.8249	6.7258	6.7075
TCGA-EE-A2MJ	skcm	2092.70176	0.0246120974999999	8.7343	11.6109	14.0336	10.8273	10.9635
TCGA-B0-5120	kirc	980.58049	0.0105885263738582	10.7361	11.1597	12.8596	8.3803	7.2933
TCGA-AC-A3TM	brca	231.08769	-1.651625867	9.5683	9.9759	12.118	8.6781	7.9247
TCGA-DJ-A2QC	thca	-37.67711	0.699443525276408	5.487	13.5619	12.9526	7.4627	7.8563
TCGA-53-7626	luad	2014.97245	-0.525462263950533	11.3704	13.34	13.4803	9.7808	9.651
TCGA-EE-A29C	skcm	-55.12310	-1.45100768	10.2525	12.1942	15.2068	7.1216	5.6181
TCGA-HW-7489	lgg	-1075.64321	0.236496498004351	9.3885	7.0885	12.615	0.431	5.2707
TCGA-ER-A19M	skcm	1350.51419	-0.609775062	10.5335	12.9447	14.699	9.5095	10.5181
TCGA-A3-3387	kirc	1388.38430	0.0245003998509442	8.4026	11.406	12.7404	5.1106	5.0904
TCGA-A6-5666	coad	-822.49873	1.74481198573656	7.5775	14.0274	14.2852	3.9794	4.311
TCGA-CM-6677	coad	-93.89256	0.820200439359061	10.2972	13.8084	13.0421	7.6246	6.6514
TCGA-G9-6370	prad	-715.32473	-0.508590813920492	9.0479	13.972	13.3894	7.6239	7.451
TCGA-G9-6362	prad	-825.31517	0.987666766341586	7.619	12.5456	11.5515	6.7759	6.2767
TCGA-28-1747	gbm	746.74019	1.01483958866796	10.1602	7.563	12.8203	6.2245	5.5821
TCGA-CJ-4640	kirc	1858.09481	-0.0479171021145313	9.801	11.4346	12.6187	10.0561	10.7044
TCGA-BH-A0C0	brca	-528.86327	-1.10166160382038	9.8685	13.4383	14.117	7.2156	7.3002
TCGA-A3-3383	kirc	1600.58178	0.522852246765749	8.6201	11.296	12.2608	9.5235	8.626
TCGA-FG-6688	lgg	344.25747	-0.137437523822578	9.5692	7.7007	13.0025	3.7624	3.9466
TCGA-FG-A4MW	lgg	-797.95485	1.64575986716699	10.078	6.7672	12.4614	2.8453	3.3127
TCGA-BP-5191	kirc	2494.42478	0.572631156033545	8.6015	11.6355	11.2259	11.5721	9.8556
TCGA-56-6545	lusc	1340.99232	-0.177487449601346	12.2091	13.8978	13.5458	8.8849	7.852
TCGA-73-7498	luad	685.91467	0.951517174067071	10.7534	12.7493	13.3173	8.7932	7.0778
TCGA-BP-4161	kirc	1904.45230	0.0085745032247766	9.6738	11.2718	12.4059	9.8525	10.2806
TCGA-F4-6807	coad	704.75402	-0.278060239681981	11.4018	13.6679	13.5965	8.9355	9.0199
TCGA-DJ-A4V2	thca	5.57432	-0.557523926502323	8.3979	14.4216	13.4463	7.1817	6.8893
TCGA-95-7567	luad	754.18079	0.627128363038524	10.1176	13.0131	13.5781	8.918	8.4446
TCGA-BH-A1ES	brca	-1041.34224	0.963833143	11.8598	14.4222	13.506	4.8514	4.582
TCGA-66-2767	lusc	2123.97467	0.663230840885046	10.6983	12.7875	13.0896	10.1808	10.3435
TCGA-G4-6293	coad	425.50293	1.84356008781615	9.1466	14.0999	13.9165	8.4507	7.8358
TCGA-B0-4833	kirc	1344.51873	-0.423070420783977	9.2514	10.5096	12.4716	10.1035	10.6379
TCGA-DJ-A3UP	thca	-548.05548	0.354596394146196	5.4127	13.8948	13.331	6.6078	6.5405
TCGA-BH-A0HW	brca	-1362.37153	0.688996820224619	8.1713	13.9227	12.8912	1.9883	5.4409
TCGA-CN-4742	hnsc	441.19107	0.631919885554582	11.4647	13.1367	13.0936	7.2747	6.0416
TCGA-K4-A3WS	blca	620.67164	-1.101225487	11.9933	12.9907	12.49	8.5477	7.9195
TCGA-78-7145	luad	431.57467	0.744926913144644	11.2886	14.7186	14.6108	6.3349	5.1897
TCGA-DB-A4X9	lgg	-837.83294	1.65317546342854	9.684	8.4382	12.3175	1.626	2.96
TCGA-D5-5538	coad	711.51420	-1.21882276927918	10.539	13.8268	13.7914	7.673	7.0329
TCGA-E2-A14N	brca	268.32777	0.394640544591613	8.4078	12.3131	12.9444	9.0387	7.4894
TCGA-AZ-6605	coad	584.51388	-0.256685771993197	9.3852	11.3742	12.9744	6.5061	5.6252
TCGA-FC-7708	prad	-516.78832	1.05398828302279	10.495	13.9448	13.2584	7.8171	7.584
TCGA-EE-A3AB	skcm	1265.58264	-0.869818383	7.2802	1.4085	13.6336	7.5713	7.5713
TCGA-CM-5861	coad	-417.31664	0.280825110467092	8.7242	13.2015	13.4207	6.1346	7.057
TCGA-FG-A4MX	lgg	-676.26724	0.355402077915806	9.4173	5.7606	11.4881	0.0	2.8123
TCGA-B6-A0I9	brca	-186.14096	-0.333561507494053	9.4962	14.3757	12.6292	7.3192	6.4955
TCGA-91-6830	luad	1121.69675	1.18480057832518	11.5797	13.4669	12.5131	8.4498	8.8622
TCGA-E1-5305	lgg	-702.23381	0.293487438646884	10.5902	6.2904	13.0628	3.3386	3.0669
TCGA-A8-A09K	brca	178.76767	-0.779164889951306	9.0793	13.4869	13.4736	8.8199	9.2032
TCGA-E9-A1RD	brca	-273.54064	0.798720581989426	9.4392	11.281	13.0032	7.4181	7.0429
TCGA-AM-5820	coad	-617.73333	0.450401086482298	9.3824	14.2612	12.7551	3.9256	5.069
TCGA-BP-4798	kirc	2760.13122	-0.8738695863541	10.2883	11.5244	12.2378	11.3869	12.3786
TCGA-CJ-4878	kirc	240.56368	0.258918424917706	9.8317	11.1756	12.3788	6.2383	5.214
TCGA-B0-4713	kirc	744.91917	-0.895890315720858	9.2807	12.5975	11.6644	9.0485	9.2853
TCGA-E9-A1NH	brca	144.21605	-0.222679878998021	12.6871	12.6558	13.742	7.0786	7.2195
TCGA-63-6202	lusc	2004.28166	0.663360099704007	10.6796	13.3636	13.3497	9.9679	10.2783
TCGA-BH-A18U	brca	-96.06058	-0.926753015693479	11.1886	13.2209	13.5996	6.914	6.1919
TCGA-EL-A3H8	thca	-623.23196	1.11781670368792	9.4802	14.4369	14.0481	5.857	5.4761
TCGA-D8-A1XM	brca	681.29371	-0.0914191095000003	12.1814	13.6156	13.5694	8.6609	8.368
TCGA-DB-A4XC	lgg	-266.97555	0.40367097824625	9.8303	7.5691	12.5813	2.8839	4.7294
TCGA-E9-A248	brca	1470.00696	-0.0474198681680577	10.6835	13.2379	13.1735	10.1689	9.8673
