TCGA	Tissue	Group	Pos	Score	IFNA1	IFNA2	IFNGR1	POLR3B	IRF3	IFNGR2	IFNE	TBK1	IFNAR1	IFNB1	TMEM173	POLR3A	IFNG	IFNAR2	IFNK	DDX58
TCGA-06-0644	gbm	WT	0	842.67613	0.0	0.0	10.8306	7.6848	9.5618	12.0917	0.0	8.9514	11.1873	0.0	9.0444	8.8315	0.0	8.934	0.0	8.6895
TCGA-K7-A5RG	lihc	WT	0	2103.93013	0.0	0.0	10.8644	8.8254	11.0633	10.2947	0.0	9.7053	10.8905	1.5863	8.8548	8.5321	7.2467	9.6879	0.0	9.4703
TCGA-Q1-A73S	cesc	WT	0	-1038.38906	0.0	0.0	9.3377	8.2775	10.4569	10.7576	0.0	8.9729	10.6794	0.0	6.6301	8.488	0.6418	7.7961	0.0	8.0735
TCGA-AO-A03O	brca	WT	0	331.36391	0.0	0.0	10.0551	8.4217	10.1352	10.8876	0.5228	10.4319	10.6969	2.7392	8.4236	9.9785	3.2167	7.8348	0.0	13.1119
TCGA-BP-4352	kirc	WT	0	-249.33958	0.0	0.0	10.2679	7.2027	12.0728	11.7433	3.2247	9.1823	10.2425	1.2129	8.1848	9.0366	1.8624	9.8236	0.5255	8.4704
TCGA-FY-A3NN	thca	WT	0	-248.41100	0.0	0.0	11.8942	8.21	9.9131	10.7954	2.8668	9.1616	11.4659	1.8447	8.2438	8.5676	0.7995	7.8391	0.0	8.3911
TCGA-HT-8108	lgg	WT	0	128.32935	0.0	0.0	12.0868	8.1649	9.0254	9.7384	2.952	8.9452	10.281	0.0	8.418	9.4301	0.0	8.7994	0.0	8.747
TCGA-TT-A6YN	pcpg	WT	0	-1014.73829	0.0	0.0	10.4218	8.117	9.2193	8.4588	0.0	10.0927	9.947	0.0	7.7539	9.3881	0.0	7.8551	0.0	8.707
TCGA-BQ-7062	kirp	WT	0	1065.19147	0.0	0.0	10.7839	7.8669	10.1826	10.4607	3.7277	8.9297	10.7628	0.0	8.84	8.695	1.0626	9.0878	0.3473	8.5454
TCGA-AG-3731	read	WT	0	793.96732	0.0	0.0	11.3518	8.5737	9.9112	10.9147	0.0	9.7178	10.2713	0.8193	9.8462	9.1142	4.558	9.2176	0.0	9.5134
TCGA-KK-A6E4	prad	WT	0	-960.67654	0.0	0.0	10.8542	8.237	10.6848	11.1689	0.0	8.5825	11.3186	0.0	6.6421	8.0839	2.3454	7.7168	0.0	8.2262
TCGA-QR-A6H4	pcpg	WT	0	-410.80793	0.0	0.0	9.5398	6.3385	9.9742	10.6942	0.0	9.5857	10.6594	0.0	7.6413	7.9707	0.8286	8.0498	0.0	8.5478
TCGA-MH-A562	kirp	WT	0	1067.71034	0.0	0.0	10.5	7.5691	11.085	10.8665	4.3443	8.3094	10.7691	1.1421	7.9982	7.3464	2.0063	8.4957	0.0	7.9707
TCGA-BB-7870	hnsc	WT	0	-543.87745	0.0	0.0	11.6327	8.9099	11.3174	11.9139	0.0	9.5101	10.5301	0.5506	9.3621	7.6564	3.0764	8.8904	0.0	9.7273
TCGA-EM-A3FQ	thca	WT	0	1096.07176	1.4458	0.0	10.9844	5.8118	11.5455	11.8309	6.7535	8.8524	10.4795	0.0	10.1546	8.1441	0.0	7.8054	0.8969	8.2744
TCGA-BH-A0HO	brca	WT	0	408.87848	0.0	0.0	10.6575	8.5382	8.784	10.9667	0.3593	9.779	11.1311	0.0	9.3375	9.1811	0.3593	8.5483	0.0	11.4459
TCGA-FY-A3WA	thca	WT	0	-1145.18450	0.0	0.0	10.8729	9.4132	10.9319	10.6435	0.0	10.2426	10.9236	0.6873	8.4288	9.4363	0.0	7.724	0.0	8.6662
TCGA-EM-A2P2	thca	WT	0	-1048.03742	4.3621	0.0	10.3723	8.738	10.3625	12.4878	9.2233	8.7785	11.1435	0.0	9.9068	8.4161	0.0	7.9823	0.0	9.0955
TCGA-FG-A60K	lgg	WT	0	-776.45853	0.0	0.5093	10.6441	8.2366	8.2669	9.1312	0.0	8.933	10.9743	0.5093	6.5108	8.7493	0.0	8.7543	0.0	8.783
TCGA-FD-A3SN	blca	WT	0	-256.77230	0.0	0.0	10.2384	8.6372	11.1493	11.6517	3.0193	9.2444	11.1472	0.0	8.8424	9.5249	3.3052	10.5038	0.0	8.4519
TCGA-EE-A2MJ	skcm	WT	0	2092.70176	0.0	0.0	9.736	8.357	10.0208	11.2604	1.4042	9.2785	10.7113	0.8666	9.4873	9.5647	6.5168	8.9528	0.0	9.5631
TCGA-B0-5120	kirc	WT	0	980.58049	0.0	0.0	11.0564	7.0389	9.5644	11.447	1.852	9.3018	11.4453	0.0	10.4861	8.8767	1.5182	9.1214	0.4572	9.6064
