Sample	Project	Score
TCGA-06-0644	glioblastoma	842.67613
TCGA-K7-A5RG	liver_cancer	2103.93013
TCGA-Q1-A73S	cervical_cancer	-1038.38906
TCGA-AO-A03O	breast_cancer	331.36391
TCGA-BP-4352	kidney_clear_cell_carcinoma	-249.33958
TCGA-FY-A3NN	thyroid_cancer_	-248.41100
TCGA-HT-8108	lower_grade_glioma	128.32935
TCGA-TT-A6YN	pheochromocytoma_&_paraganglioma	-1014.73829
TCGA-BQ-7062	kidney_papillary_cell_carcinoma	1065.19147
TCGA-AG-3731	rectal_cancer	793.96732
TCGA-KK-A6E4	prostate_cancer	-960.67654
TCGA-QR-A6H4	pheochromocytoma_&_paraganglioma	-410.80793
TCGA-MH-A562	kidney_papillary_cell_carcinoma	1067.71034
TCGA-BB-7870	head_and_neck_cancer	-543.87745
TCGA-EM-A3FQ	thyroid_cancer_	1096.07176
TCGA-BH-A0HO	breast_cancer	408.87848
TCGA-FY-A3WA	thyroid_cancer_	-1145.18450
TCGA-EM-A2P2	thyroid_cancer_	-1048.03742
TCGA-FG-A60K	lower_grade_glioma	-776.45853
TCGA-FD-A3SN	bladder_cancer	-256.77230
TCGA-EE-A2MJ	melanoma	2092.70176
TCGA-B0-5120	kidney_clear_cell_carcinoma	980.58049
TCGA-AC-A3TM	breast_cancer	231.08769
TCGA-DJ-A2QC	thyroid_cancer_	-37.67711
TCGA-W2-A7HH	pheochromocytoma_&_paraganglioma	-1299.22010
TCGA-ED-A7XO	liver_cancer	158.47693
TCGA-53-7626	lung_adenocarcinoma	2014.97245
TCGA-WB-A80K	pheochromocytoma_&_paraganglioma	-348.71341
TCGA-EE-A29C	melanoma	-55.12310
TCGA-CR-6481	head_and_neck_cancer	2484.79569
TCGA-HW-7489	lower_grade_glioma	-1075.64321
TCGA-ER-A19M	melanoma	1350.51419
TCGA-A3-3387	kidney_clear_cell_carcinoma	1388.38430
TCGA-A6-5666	colon_cancer	-822.49873
TCGA-CM-6677	colon_cancer	-93.89256
TCGA-G9-6370	prostate_cancer	-715.32473
TCGA-WB-A80O	pheochromocytoma_&_paraganglioma	-65.34465
TCGA-G9-6362	prostate_cancer	-825.31517
TCGA-ES-A2HT	liver_cancer	203.44708
TCGA-DZ-6134	kidney_papillary_cell_carcinoma	-138.41474
TCGA-28-1747	glioblastoma	746.74019
TCGA-Q2-A5QZ	kidney_papillary_cell_carcinoma	827.49550
TCGA-HE-A5NF	kidney_papillary_cell_carcinoma	1149.85598
TCGA-CJ-4640	kidney_clear_cell_carcinoma	1858.09481
TCGA-J4-A67R	prostate_cancer	-150.89703
TCGA-67-3770	lung_adenocarcinoma	1238.97890
TCGA-BH-A0C0	breast_cancer	-528.86327
TCGA-A1-A0SD	breast_cancer	-118.53382
TCGA-50-8459	lung_adenocarcinoma	1991.33672
TCGA-A3-3383	kidney_clear_cell_carcinoma	1600.58178
TCGA-FG-6688	lower_grade_glioma	344.25747
TCGA-FG-A4MW	lower_grade_glioma	-797.95485
TCGA-BP-5191	kidney_clear_cell_carcinoma	2494.42478
TCGA-56-6545	lung_squamous_cell_carcinoma	1340.99232
TCGA-73-7498	lung_adenocarcinoma	685.91467
TCGA-BP-4161	kidney_clear_cell_carcinoma	1904.45230
TCGA-F4-6807	colon_cancer	704.75402
TCGA-DJ-A4V2	thyroid_cancer_	5.57432
TCGA-95-7567	lung_adenocarcinoma	754.18079
TCGA-N7-A59B	uterine_carcinosarcoma_	100.60496
TCGA-G9-7519	prostate_cancer	-1072.65306
TCGA-CC-A7II	liver_cancer	-897.90649
TCGA-BH-A1ES	breast_cancer	-1041.34224
TCGA-66-2767	lung_squamous_cell_carcinoma	2123.97467
TCGA-C5-A1MP	cervical_cancer	1463.49577
TCGA-G4-6293	colon_cancer	425.50293
TCGA-95-7562	lung_adenocarcinoma	681.76403
TCGA-D3-A2JF	melanoma	1304.28810
TCGA-B0-4833	kidney_clear_cell_carcinoma	1344.51873
TCGA-DJ-A3UP	thyroid_cancer_	-548.05548
TCGA-BH-A0HW	breast_cancer	-1362.37153
TCGA-KS-A41J	thyroid_cancer_	546.15368
TCGA-CN-4742	head_and_neck_cancer	441.19107
TCGA-K4-A3WS	bladder_cancer	620.67164
TCGA-78-7145	lung_adenocarcinoma	431.57467
TCGA-DB-A4X9	lower_grade_glioma	-837.83294
TCGA-AK-3454	kidney_clear_cell_carcinoma	569.36677
TCGA-D5-5538	colon_cancer	711.51420
TCGA-E2-A14N	breast_cancer	268.32777
TCGA-26-5136	glioblastoma	676.63871
TCGA-AZ-6605	colon_cancer	584.51388
TCGA-FC-7708	prostate_cancer	-516.78832
TCGA-BC-A10Z	liver_cancer	-25.16545
TCGA-EE-A3AB	melanoma	1265.58264
TCGA-CM-5861	colon_cancer	-417.31664
TCGA-FG-A4MX	lower_grade_glioma	-676.26724
TCGA-NA-A4QV	uterine_carcinosarcoma_	-870.93975
TCGA-38-7271	lung_adenocarcinoma	2743.79740
TCGA-B6-A0I9	breast_cancer	-186.14096
TCGA-91-6830	lung_adenocarcinoma	1121.69675
TCGA-RP-A690	melanoma	-496.64227
TCGA-E1-5305	lower_grade_glioma	-702.23381
TCGA-A8-A09K	breast_cancer	178.76767
TCGA-E9-A1RD	breast_cancer	-273.54064
TCGA-AN-A0FN	breast_cancer	1625.62670
TCGA-AC-A5XS	breast_cancer	1020.86199
TCGA-KO-8403	kidney_chromophobe	-1118.47831
TCGA-AM-5820	colon_cancer	-617.73333
TCGA-R2-A69V	cervical_cancer	2825.16007
TCGA-BP-4798	kidney_clear_cell_carcinoma	2760.13122
TCGA-CJ-4878	kidney_clear_cell_carcinoma	240.56368
TCGA-B0-4713	kidney_clear_cell_carcinoma	744.91917
TCGA-E9-A1NH	breast_cancer	144.21605
TCGA-B6-A0I1	breast_cancer	-909.60781
TCGA-63-6202	lung_squamous_cell_carcinoma	2004.28166
TCGA-BH-A18U	breast_cancer	-96.06058
TCGA-EL-A3H8	thyroid_cancer_	-623.23196
TCGA-D8-A1XM	breast_cancer	681.29371
TCGA-DM-A285	colon_cancer	-1047.61945
TCGA-C5-A2LY	cervical_cancer	1811.66978
TCGA-A4-A6HP	kidney_papillary_cell_carcinoma	987.96838
TCGA-DB-A4XC	lower_grade_glioma	-266.97555
TCGA-E9-A248	breast_cancer	1470.00696
TCGA-DB-A64W	lower_grade_glioma	-2012.45772
TCGA-HZ-A4BK	pancreatic_cancer	1006.40488
TCGA-78-7162	lung_adenocarcinoma	1047.91461
TCGA-FV-A3I0	liver_cancer	-165.37904
TCGA-BH-A0AV	breast_cancer	50.91455
TCGA-P8-A6RY	pheochromocytoma_&_paraganglioma	-1078.93008
TCGA-A2-A0YI	breast_cancer	1265.76175
TCGA-BH-A201	breast_cancer	-512.10301
TCGA-N5-A4RO	uterine_carcinosarcoma_	-1742.05304
TCGA-97-A4M2	lung_adenocarcinoma	2085.84084
TCGA-44-4112	lung_adenocarcinoma	626.50416
TCGA-75-7027	lung_adenocarcinoma	-73.12636
TCGA-27-1832	glioblastoma	967.83989
TCGA-B6-A0RN	breast_cancer	-681.25961
TCGA-FY-A3NP	thyroid_cancer_	-999.79147
TCGA-49-4490	lung_adenocarcinoma	422.15046
TCGA-DW-5561	kidney_papillary_cell_carcinoma	30.06417
TCGA-DU-5851	lower_grade_glioma	-834.87963
TCGA-CZ-5465	kidney_clear_cell_carcinoma	328.28780
TCGA-RT-A6YA	pheochromocytoma_&_paraganglioma	-308.21689
TCGA-RC-A6M4	liver_cancer	-937.54664
TCGA-38-4632	lung_adenocarcinoma	1531.51337
TCGA-B0-4822	kidney_clear_cell_carcinoma	1277.99132
TCGA-32-2615	glioblastoma	516.02700
TCGA-EJ-5498	prostate_cancer	-405.98978
TCGA-34-5240	lung_squamous_cell_carcinoma	26.53703
TCGA-C8-A134	breast_cancer	579.86873
TCGA-MI-A75E	liver_cancer	298.95477
TCGA-ER-A1A1	melanoma	3006.65022
TCGA-MY-A5BE	cervical_cancer	3002.06812
TCGA-G9-6367	prostate_cancer	-920.36425
TCGA-05-4415	lung_adenocarcinoma	52.89116
TCGA-EI-7002	rectal_cancer	-270.93033
TCGA-55-6712	lung_adenocarcinoma	1724.55413
TCGA-GU-A42R	bladder_cancer	-1024.04981
TCGA-EA-A3QE	cervical_cancer	1681.67407
TCGA-BH-A0BW	breast_cancer	1339.35134
TCGA-BP-5000	kidney_clear_cell_carcinoma	1418.09085
TCGA-CZ-5989	kidney_clear_cell_carcinoma	-532.74429
TCGA-BT-A3PK	bladder_cancer	477.63150
TCGA-EK-A2RL	cervical_cancer	-651.28168
TCGA-N5-A4RV	uterine_carcinosarcoma_	-599.13077
TCGA-CE-A485	thyroid_cancer_	282.17660
TCGA-BP-4761	kidney_clear_cell_carcinoma	905.21792
TCGA-HL-7533	head_and_neck_cancer	669.31570
TCGA-G3-A3CJ	liver_cancer	-255.93192
TCGA-EM-A2CR	thyroid_cancer_	-168.12058
TCGA-F5-6571	rectal_cancer	579.71659
TCGA-D3-A3C8	melanoma	3428.50469
TCGA-49-4501	lung_adenocarcinoma	1166.91804
TCGA-F5-6814	rectal_cancer	-23.27350
TCGA-50-5051	lung_adenocarcinoma	-204.87203
TCGA-BH-A1F2	breast_cancer	-195.69873
TCGA-BP-5202	kidney_clear_cell_carcinoma	649.70671
TCGA-OL-A5S0	breast_cancer	644.94441
TCGA-EK-A3GM	cervical_cancer	-549.77016
TCGA-OR-A5JE	adrenocortical_cancer	-386.97813
TCGA-WB-A81G	pheochromocytoma_&_paraganglioma	-787.30308
TCGA-EL-A3CO	thyroid_cancer_	1165.58956
TCGA-CC-A3MC	liver_cancer	-169.71403
TCGA-22-5477	lung_squamous_cell_carcinoma	-226.88552
TCGA-CQ-5330	head_and_neck_cancer	1343.10474
TCGA-CE-A3ME	thyroid_cancer_	-369.64850
TCGA-B8-4146	kidney_clear_cell_carcinoma	1141.96317
TCGA-IA-A40X	kidney_papillary_cell_carcinoma	142.98293
TCGA-D8-A27K	breast_cancer	310.29238
TCGA-DD-A73C	liver_cancer	-303.44105
TCGA-B8-4622	kidney_clear_cell_carcinoma	1409.55808
TCGA-KN-8423	kidney_chromophobe	-834.05478
TCGA-EL-A3GV	thyroid_cancer_	234.80782
TCGA-C8-A1HF	breast_cancer	939.73140
TCGA-55-6975	lung_adenocarcinoma	320.19810
TCGA-QR-A7IP	pheochromocytoma_&_paraganglioma	-1374.71648
TCGA-CN-4735	head_and_neck_cancer	1041.26162
TCGA-EW-A1IZ	breast_cancer	2031.78625
TCGA-69-7974	lung_adenocarcinoma	1577.74119
TCGA-B1-A655	kidney_papillary_cell_carcinoma	556.41921
TCGA-EJ-5526	prostate_cancer	-596.06136
TCGA-E2-A1L7	breast_cancer	794.26269
TCGA-EE-A3J7	melanoma	-720.41899
TCGA-SP-A6QH	pheochromocytoma_&_paraganglioma	-502.64155
TCGA-CJ-5680	kidney_clear_cell_carcinoma	-307.77625
TCGA-BH-A0B3	breast_cancer	771.52202
TCGA-BH-A0DS	breast_cancer	493.96635
TCGA-G3-A7M9	liver_cancer	-971.62086
TCGA-AA-3518	colon_cancer	572.06879
TCGA-BT-A2LB	bladder_cancer	816.63477
TCGA-06-5412	glioblastoma	1554.20973
TCGA-EL-A3GS	thyroid_cancer_	-526.54010
TCGA-HI-7168	prostate_cancer	-1186.96146
TCGA-CI-6624	rectal_cancer	240.97607
TCGA-MP-A4TC	lung_adenocarcinoma	1139.86142
TCGA-DU-8164	lower_grade_glioma	-1502.90181
TCGA-CJ-4884	kidney_clear_cell_carcinoma	1629.40851
TCGA-BC-A69H	liver_cancer	389.06436
TCGA-EL-A4KG	thyroid_cancer_	457.10273
TCGA-EJ-7317	prostate_cancer	-1316.65619
TCGA-CR-7401	head_and_neck_cancer	211.68601
TCGA-EM-A2CJ	thyroid_cancer_	-1168.73047
TCGA-B6-A40C	breast_cancer	101.88302
TCGA-B0-4846	kidney_clear_cell_carcinoma	1338.62622
TCGA-CV-5440	head_and_neck_cancer	-522.82056
TCGA-B0-4814	kidney_clear_cell_carcinoma	313.10229
TCGA-CN-6022	head_and_neck_cancer	815.87456
TCGA-BH-A1FM	breast_cancer	-472.24490
TCGA-EJ-7783	prostate_cancer	-219.53806
TCGA-E9-A22B	breast_cancer	-62.41063
TCGA-27-2524	glioblastoma	489.66348
TCGA-DD-A4NH	liver_cancer	409.75197
TCGA-FK-A3SH	thyroid_cancer_	-695.86811
TCGA-27-2521	glioblastoma	-897.68113
TCGA-BH-A18K	breast_cancer	-693.71756
TCGA-E8-A418	thyroid_cancer_	-0.30649
TCGA-E2-A10C	breast_cancer	686.16081
TCGA-DK-A1AB	bladder_cancer	509.17372
TCGA-HW-A5KL	lower_grade_glioma	-448.02642
TCGA-A3-3347	kidney_clear_cell_carcinoma	1878.13312
TCGA-B0-5088	kidney_clear_cell_carcinoma	1490.93918
TCGA-06-0211	glioblastoma	183.96364
TCGA-EE-A3J5	melanoma	909.41551
TCGA-CQ-6224	head_and_neck_cancer	814.99492
TCGA-EJ-7781	prostate_cancer	175.65496
TCGA-DU-6396	lower_grade_glioma	1199.56747
TCGA-AC-A23H	breast_cancer	-631.15011
TCGA-EW-A1OV	breast_cancer	2247.54961
TCGA-HT-A618	lower_grade_glioma	811.30476
TCGA-50-6597	lung_adenocarcinoma	1239.10843
TCGA-CZ-5470	kidney_clear_cell_carcinoma	1602.78420
TCGA-D8-A1JF	breast_cancer	9.64009
TCGA-FY-A3RA	thyroid_cancer_	-707.21898
TCGA-55-6970	lung_adenocarcinoma	2556.00138
TCGA-B0-4712	kidney_clear_cell_carcinoma	1594.79817
TCGA-AR-A24O	breast_cancer	603.01660
TCGA-PJ-A5Z9	kidney_papillary_cell_carcinoma	-466.49896
TCGA-AH-6644	rectal_cancer	-68.44928
TCGA-KN-8430	kidney_chromophobe	-1288.87869
TCGA-D3-A2J7	melanoma	727.71628
TCGA-BP-4341	kidney_clear_cell_carcinoma	302.53329
TCGA-L6-A4EU	thyroid_cancer_	407.20033
TCGA-CJ-5671	kidney_clear_cell_carcinoma	2066.08000
TCGA-66-2771	lung_squamous_cell_carcinoma	1937.26688
TCGA-DW-7839	kidney_papillary_cell_carcinoma	-1622.41341
TCGA-E2-A15O	breast_cancer	-534.69451
TCGA-CZ-4856	kidney_clear_cell_carcinoma	1246.37616
TCGA-QR-A70M	pheochromocytoma_&_paraganglioma	-761.12558
TCGA-PA-A5YG	adrenocortical_cancer	532.08797
TCGA-P5-A5F1	lower_grade_glioma	-312.72823
TCGA-12-0616	glioblastoma	125.18428
TCGA-86-7711	lung_adenocarcinoma	1246.27225
TCGA-44-7661	lung_adenocarcinoma	1668.27732
TCGA-KL-8327	kidney_chromophobe	-563.30757
TCGA-LP-A4AX	cervical_cancer	1471.42285
TCGA-66-2800	lung_squamous_cell_carcinoma	882.70155
TCGA-D5-5540	colon_cancer	-572.98099
TCGA-DB-A4XB	lower_grade_glioma	-862.83206
TCGA-E9-A226	breast_cancer	-538.67041
TCGA-66-2783	lung_squamous_cell_carcinoma	447.98900
TCGA-HT-7474	lower_grade_glioma	-1205.10222
TCGA-18-3407	lung_squamous_cell_carcinoma	291.63873
TCGA-CH-5772	prostate_cancer	-846.62775
TCGA-BH-A0B1	breast_cancer	-362.91599
TCGA-G4-6321	colon_cancer	337.42333
TCGA-FS-A4F9	melanoma	-491.83237
TCGA-BC-A5W4	liver_cancer	-1012.20237
TCGA-BP-5194	kidney_clear_cell_carcinoma	881.57561
TCGA-AN-A03Y	breast_cancer	-76.96825
TCGA-A3-3308	kidney_clear_cell_carcinoma	804.10134
TCGA-DD-A3A4	liver_cancer	-853.08472
TCGA-EM-A22O	thyroid_cancer_	-449.72544
TCGA-A6-6652	colon_cancer	-829.70375
TCGA-GF-A4EO	melanoma	2708.81213
TCGA-C5-A1M9	cervical_cancer	-258.30045
TCGA-BQ-7053	kidney_papillary_cell_carcinoma	-31.10184
TCGA-C4-A0F0	bladder_cancer	267.76084
TCGA-QR-A70A	pheochromocytoma_&_paraganglioma	-854.00418
TCGA-FD-A3SJ	bladder_cancer	-591.26205
TCGA-E2-A158	breast_cancer	-777.86061
TCGA-FV-A495	liver_cancer	740.54667
TCGA-EP-A12J	liver_cancer	-397.63388
TCGA-GM-A2DL	breast_cancer	290.60417
TCGA-G2-A3VY	bladder_cancer	-1372.78144
TCGA-A8-A09R	breast_cancer	547.00799
TCGA-C5-A7UC	cervical_cancer	-602.89900
TCGA-E2-A154	breast_cancer	-775.74520
TCGA-GM-A3NW	breast_cancer	-247.04928
TCGA-05-5420	lung_adenocarcinoma	2704.92922
TCGA-FV-A2QR	liver_cancer	1150.78766
TCGA-FE-A3PC	thyroid_cancer_	4.03082
TCGA-A2-A0ES	breast_cancer	128.72790
TCGA-CL-4957	rectal_cancer	-741.99337
TCGA-DJ-A2PP	thyroid_cancer_	-1230.22525
TCGA-CR-5250	head_and_neck_cancer	607.85910
TCGA-C8-A275	breast_cancer	1247.16646
TCGA-DJ-A2PW	thyroid_cancer_	-2.60568
TCGA-BC-A3KG	liver_cancer	-577.98247
TCGA-D8-A1XA	breast_cancer	-194.47223
TCGA-B0-5701	kidney_clear_cell_carcinoma	1019.10271
TCGA-ET-A3BT	thyroid_cancer_	-310.72814
TCGA-BI-A0VS	cervical_cancer	286.24338
TCGA-EE-A3JH	melanoma	2912.80831
TCGA-QR-A70O	pheochromocytoma_&_paraganglioma	-1115.29307
TCGA-HT-7610	lower_grade_glioma	-1274.83985
TCGA-H9-A6BX	prostate_cancer	-252.27875
TCGA-75-6206	lung_adenocarcinoma	649.06892
TCGA-BC-A10S	liver_cancer	563.00347
TCGA-A2-A04T	breast_cancer	531.87229
TCGA-22-4613	lung_squamous_cell_carcinoma	974.47114
TCGA-44-3398	lung_adenocarcinoma	1896.58170
TCGA-DD-A4NQ	liver_cancer	101.74206
TCGA-D8-A1XV	breast_cancer	-866.76708
TCGA-AS-3778	kidney_clear_cell_carcinoma	705.13479
TCGA-CM-6675	colon_cancer	-596.47164
TCGA-AR-A0U0	breast_cancer	1217.69423
TCGA-28-5218	glioblastoma	1240.17452
TCGA-HC-8257	prostate_cancer	-882.70378
TCGA-S7-A7WW	pheochromocytoma_&_paraganglioma	-295.08845
TCGA-GM-A3XL	breast_cancer	830.42775
TCGA-66-2756	lung_squamous_cell_carcinoma	-260.28366
TCGA-CR-6492	head_and_neck_cancer	429.55004
TCGA-AK-3456	kidney_clear_cell_carcinoma	400.57563
TCGA-EJ-5504	prostate_cancer	-834.34623
TCGA-C5-A7UE	cervical_cancer	-76.15222
TCGA-HT-7470	lower_grade_glioma	-952.03146
TCGA-E2-A14U	breast_cancer	-681.81566
TCGA-14-1823	glioblastoma	1145.51009
TCGA-AR-A1AY	breast_cancer	-533.20513
TCGA-DJ-A3UY	thyroid_cancer_	121.89555
TCGA-D6-6516	head_and_neck_cancer	639.81856
TCGA-EJ-5516	prostate_cancer	-319.80062
TCGA-QR-A708	pheochromocytoma_&_paraganglioma	-1271.72689
TCGA-73-4659	lung_adenocarcinoma	698.10382
