TCGA	Pos	Group	Score	Name	Gene	Tissue
TCGA-06-0644	0	WT	842.67613	Thrombin	WT	gbm
TCGA-K7-A5RG	0	WT	2103.93013	Thrombin	WT	lihc
TCGA-AO-A03O	0	WT	331.36391	Thrombin	WT	brca
TCGA-Q1-A73S	0	WT	-1038.38906	Thrombin	WT	cesc
TCGA-BP-4352	0	WT	-249.33958	Thrombin	WT	kirc
TCGA-FY-A3NN	0	WT	-248.41100	Thrombin	WT	thca
TCGA-HT-8108	0	WT	128.32935	Thrombin	WT	lgg
TCGA-TT-A6YN	0	WT	-1014.73829	Thrombin	WT	pcpg
TCGA-BQ-7062	0	WT	1065.19147	Thrombin	WT	kirp
TCGA-KK-A6E4	0	WT	-960.67654	Thrombin	WT	prad
TCGA-AG-3731	0	WT	793.96732	Thrombin	WT	read
TCGA-MH-A562	0	WT	1067.71034	Thrombin	WT	kirp
TCGA-QR-A6H4	0	WT	-410.80793	Thrombin	WT	pcpg
TCGA-BB-7870	0	WT	-543.87745	Thrombin	WT	hnsc
TCGA-EM-A3FQ	0	WT	1096.07176	Thrombin	WT	thca
TCGA-BH-A0HO	0	WT	408.87848	Thrombin	WT	brca
TCGA-FY-A3WA	0	WT	-1145.18450	Thrombin	WT	thca
TCGA-EM-A2P2	0	WT	-1048.03742	Thrombin	WT	thca
TCGA-FG-A60K	0	WT	-776.45853	Thrombin	WT	lgg
TCGA-FD-A3SN	0	WT	-256.77230	Thrombin	WT	blca
TCGA-AC-A3TM	0	WT	231.08769	Thrombin	WT	brca
TCGA-EE-A2MJ	0	WT	2092.70176	Thrombin	WT	skcm
TCGA-B0-5120	0	WT	980.58049	Thrombin	WT	kirc
TCGA-DJ-A2QC	0	WT	-37.67711	Thrombin	WT	thca
TCGA-W2-A7HH	0	WT	-1299.22010	Thrombin	WT	pcpg
TCGA-ED-A7XO	0	WT	158.47693	Thrombin	WT	lihc
TCGA-53-7626	0	WT	2014.97245	Thrombin	WT	luad
TCGA-WB-A80K	0	WT	-348.71341	Thrombin	WT	pcpg
TCGA-EE-A29C	0	WT	-55.12310	Thrombin	WT	skcm
TCGA-CR-6481	0	WT	2484.79569	Thrombin	WT	hnsc
TCGA-HW-7489	0	WT	-1075.64321	Thrombin	WT	lgg
TCGA-ER-A19M	0	WT	1350.51419	Thrombin	WT	skcm
TCGA-A3-3387	0	WT	1388.38430	Thrombin	WT	kirc
TCGA-A6-5666	0	WT	-822.49873	Thrombin	WT	coad
TCGA-CM-6677	0	WT	-93.89256	Thrombin	WT	coad
TCGA-G9-6370	0	WT	-715.32473	Thrombin	WT	prad
TCGA-WB-A80O	0	WT	-65.34465	Thrombin	WT	pcpg
TCGA-G9-6362	0	WT	-825.31517	Thrombin	WT	prad
TCGA-DZ-6134	0	WT	-138.41474	Thrombin	WT	kirp
TCGA-28-1747	0	WT	746.74019	Thrombin	WT	gbm
TCGA-ES-A2HT	0	WT	203.44708	Thrombin	WT	lihc
TCGA-HE-A5NF	0	WT	1149.85598	Thrombin	WT	kirp
TCGA-Q2-A5QZ	0	WT	827.49550	Thrombin	WT	kirp
TCGA-CJ-4640	0	WT	1858.09481	Thrombin	WT	kirc
TCGA-J4-A67R	0	WT	-150.89703	Thrombin	WT	prad
TCGA-67-3770	0	WT	1238.97890	Thrombin	WT	luad
TCGA-BH-A0C0	0	WT	-528.86327	Thrombin	WT	brca
TCGA-A1-A0SD	0	WT	-118.53382	Thrombin	WT	brca
TCGA-50-8459	0	WT	1991.33672	Thrombin	WT	luad
TCGA-A3-3383	0	WT	1600.58178	Thrombin	WT	kirc
TCGA-FG-6688	0	WT	344.25747	Thrombin	WT	lgg
TCGA-FG-A4MW	0	WT	-797.95485	Thrombin	WT	lgg
TCGA-BP-5191	0	WT	2494.42478	Thrombin	WT	kirc
TCGA-56-6545	0	WT	1340.99232	Thrombin	WT	lusc
TCGA-73-7498	0	WT	685.91467	Thrombin	WT	luad
TCGA-BP-4161	0	WT	1904.45230	Thrombin	WT	kirc
TCGA-F4-6807	0	WT	704.75402	Thrombin	WT	coad
TCGA-95-7567	0	WT	754.18079	Thrombin	WT	luad
TCGA-DJ-A4V2	0	WT	5.57432	Thrombin	WT	thca
TCGA-N7-A59B	0	WT	100.60496	Thrombin	WT	ucs
TCGA-G9-7519	0	WT	-1072.65306	Thrombin	WT	prad
TCGA-CC-A7II	0	WT	-897.90649	Thrombin	WT	lihc
TCGA-BH-A1ES	0	WT	-1041.34224	Thrombin	WT	brca
TCGA-66-2767	0	WT	2123.97467	Thrombin	WT	lusc
TCGA-C5-A1MP	0	WT	1463.49577	Thrombin	WT	cesc
TCGA-G4-6293	0	WT	425.50293	Thrombin	WT	coad
TCGA-95-7562	0	WT	681.76403	Thrombin	WT	luad
TCGA-B0-4833	0	WT	1344.51873	Thrombin	WT	kirc
TCGA-D3-A2JF	0	WT	1304.28810	Thrombin	WT	skcm
TCGA-DJ-A3UP	0	WT	-548.05548	Thrombin	WT	thca
TCGA-BH-A0HW	0	WT	-1362.37153	Thrombin	WT	brca
TCGA-CN-4742	0	WT	441.19107	Thrombin	WT	hnsc
TCGA-KS-A41J	0	WT	546.15368	Thrombin	WT	thca
TCGA-K4-A3WS	0	WT	620.67164	Thrombin	WT	blca
TCGA-AK-3454	0	WT	569.36677	Thrombin	WT	kirc
TCGA-DB-A4X9	0	WT	-837.83294	Thrombin	WT	lgg
TCGA-78-7145	0	WT	431.57467	Thrombin	WT	luad
TCGA-E2-A14N	0	WT	268.32777	Thrombin	WT	brca
TCGA-D5-5538	0	WT	711.51420	Thrombin	WT	coad
TCGA-26-5136	0	WT	676.63871	Thrombin	WT	gbm
TCGA-AZ-6605	0	WT	584.51388	Thrombin	WT	coad
TCGA-BC-A10Z	0	WT	-25.16545	Thrombin	WT	lihc
TCGA-FC-7708	0	WT	-516.78832	Thrombin	WT	prad
TCGA-EE-A3AB	0	WT	1265.58264	Thrombin	WT	skcm
TCGA-CM-5861	0	WT	-417.31664	Thrombin	WT	coad
TCGA-FG-A4MX	0	WT	-676.26724	Thrombin	WT	lgg
TCGA-NA-A4QV	0	WT	-870.93975	Thrombin	WT	ucs
TCGA-38-7271	0	WT	2743.79740	Thrombin	WT	luad
TCGA-B6-A0I9	0	WT	-186.14096	Thrombin	WT	brca
TCGA-91-6830	0	WT	1121.69675	Thrombin	WT	luad
TCGA-E1-5305	0	WT	-702.23381	Thrombin	WT	lgg
TCGA-RP-A690	0	WT	-496.64227	Thrombin	WT	skcm
TCGA-A8-A09K	0	WT	178.76767	Thrombin	WT	brca
TCGA-E9-A1RD	0	WT	-273.54064	Thrombin	WT	brca
TCGA-AN-A0FN	0	WT	1625.62670	Thrombin	WT	brca
TCGA-AC-A5XS	0	WT	1020.86199	Thrombin	WT	brca
TCGA-KO-8403	0	WT	-1118.47831	Thrombin	WT	kich
TCGA-R2-A69V	0	WT	2825.16007	Thrombin	WT	cesc
TCGA-AM-5820	0	WT	-617.73333	Thrombin	WT	coad
TCGA-BP-4798	0	WT	2760.13122	Thrombin	WT	kirc
TCGA-CJ-4878	0	WT	240.56368	Thrombin	WT	kirc
TCGA-B0-4713	0	WT	744.91917	Thrombin	WT	kirc
TCGA-E9-A1NH	0	WT	144.21605	Thrombin	WT	brca
TCGA-B6-A0I1	0	WT	-909.60781	Thrombin	WT	brca
TCGA-63-6202	0	WT	2004.28166	Thrombin	WT	lusc
TCGA-BH-A18U	0	WT	-96.06058	Thrombin	WT	brca
TCGA-EL-A3H8	0	WT	-623.23196	Thrombin	WT	thca
TCGA-D8-A1XM	0	WT	681.29371	Thrombin	WT	brca
TCGA-DM-A285	0	WT	-1047.61945	Thrombin	WT	coad
TCGA-C5-A2LY	0	WT	1811.66978	Thrombin	WT	cesc
TCGA-A4-A6HP	0	WT	987.96838	Thrombin	WT	kirp
TCGA-DB-A4XC	0	WT	-266.97555	Thrombin	WT	lgg
TCGA-E9-A248	0	WT	1470.00696	Thrombin	WT	brca
TCGA-DB-A64W	0	WT	-2012.45772	Thrombin	WT	lgg
TCGA-78-7162	0	WT	1047.91461	Thrombin	WT	luad
TCGA-HZ-A4BK	0	WT	1006.40488	Thrombin	WT	paad
TCGA-FV-A3I0	0	WT	-165.37904	Thrombin	WT	lihc
TCGA-BH-A0AV	0	WT	50.91455	Thrombin	WT	brca
TCGA-P8-A6RY	0	WT	-1078.93008	Thrombin	WT	pcpg
TCGA-BH-A201	0	WT	-512.10301	Thrombin	WT	brca
TCGA-A2-A0YI	0	WT	1265.76175	Thrombin	WT	brca
TCGA-N5-A4RO	0	WT	-1742.05304	Thrombin	WT	ucs
TCGA-97-A4M2	0	WT	2085.84084	Thrombin	WT	luad
TCGA-44-4112	0	WT	626.50416	Thrombin	WT	luad
TCGA-75-7027	0	WT	-73.12636	Thrombin	WT	luad
TCGA-27-1832	0	WT	967.83989	Thrombin	WT	gbm
TCGA-B6-A0RN	0	WT	-681.25961	Thrombin	WT	brca
TCGA-FY-A3NP	0	WT	-999.79147	Thrombin	WT	thca
TCGA-DW-5561	0	WT	30.06417	Thrombin	WT	kirp
TCGA-49-4490	0	WT	422.15046	Thrombin	WT	luad
TCGA-DU-5851	0	WT	-834.87963	Thrombin	WT	lgg
TCGA-CZ-5465	0	WT	328.28780	Thrombin	WT	kirc
TCGA-RT-A6YA	0	WT	-308.21689	Thrombin	WT	pcpg
TCGA-RC-A6M4	0	WT	-937.54664	Thrombin	WT	lihc
TCGA-32-2615	0	WT	516.02700	Thrombin	WT	gbm
TCGA-38-4632	0	WT	1531.51337	Thrombin	WT	luad
TCGA-B0-4822	0	WT	1277.99132	Thrombin	WT	kirc
TCGA-EJ-5498	0	WT	-405.98978	Thrombin	WT	prad
TCGA-34-5240	0	WT	26.53703	Thrombin	WT	lusc
TCGA-C8-A134	0	WT	579.86873	Thrombin	WT	brca
TCGA-MI-A75E	0	WT	298.95477	Thrombin	WT	lihc
TCGA-ER-A1A1	0	WT	3006.65022	Thrombin	WT	skcm
TCGA-MY-A5BE	0	WT	3002.06812	Thrombin	WT	cesc
TCGA-05-4415	0	WT	52.89116	Thrombin	WT	luad
TCGA-G9-6367	0	WT	-920.36425	Thrombin	WT	prad
TCGA-EI-7002	0	WT	-270.93033	Thrombin	WT	read
TCGA-55-6712	0	WT	1724.55413	Thrombin	WT	luad
TCGA-GU-A42R	0	WT	-1024.04981	Thrombin	WT	blca
TCGA-BH-A0BW	0	WT	1339.35134	Thrombin	WT	brca
TCGA-EA-A3QE	0	WT	1681.67407	Thrombin	WT	cesc
TCGA-BP-5000	0	WT	1418.09085	Thrombin	WT	kirc
TCGA-CZ-5989	0	WT	-532.74429	Thrombin	WT	kirc
TCGA-BT-A3PK	0	WT	477.63150	Thrombin	WT	blca
TCGA-EK-A2RL	0	WT	-651.28168	Thrombin	WT	cesc
TCGA-N5-A4RV	0	WT	-599.13077	Thrombin	WT	ucs
TCGA-CE-A485	0	WT	282.17660	Thrombin	WT	thca
TCGA-BP-4761	0	WT	905.21792	Thrombin	WT	kirc
TCGA-HL-7533	0	WT	669.31570	Thrombin	WT	hnsc
TCGA-G3-A3CJ	0	WT	-255.93192	Thrombin	WT	lihc
TCGA-EM-A2CR	0	WT	-168.12058	Thrombin	WT	thca
TCGA-F5-6571	0	WT	579.71659	Thrombin	WT	read
TCGA-D3-A3C8	0	WT	3428.50469	Thrombin	WT	skcm
TCGA-49-4501	0	WT	1166.91804	Thrombin	WT	luad
TCGA-F5-6814	0	WT	-23.27350	Thrombin	WT	read
TCGA-BH-A1F2	0	WT	-195.69873	Thrombin	WT	brca
TCGA-50-5051	0	WT	-204.87203	Thrombin	WT	luad
TCGA-BP-5202	0	WT	649.70671	Thrombin	WT	kirc
TCGA-OL-A5S0	0	WT	644.94441	Thrombin	WT	brca
TCGA-OR-A5JE	0	WT	-386.97813	Thrombin	WT	acc
TCGA-EK-A3GM	0	WT	-549.77016	Thrombin	WT	cesc
TCGA-WB-A81G	0	WT	-787.30308	Thrombin	WT	pcpg
TCGA-EL-A3CO	0	WT	1165.58956	Thrombin	WT	thca
TCGA-CC-A3MC	0	WT	-169.71403	Thrombin	WT	lihc
TCGA-CQ-5330	0	WT	1343.10474	Thrombin	WT	hnsc
TCGA-22-5477	0	WT	-226.88552	Thrombin	WT	lusc
TCGA-CE-A3ME	0	WT	-369.64850	Thrombin	WT	thca
TCGA-B8-4146	0	WT	1141.96317	Thrombin	WT	kirc
TCGA-D8-A27K	0	WT	310.29238	Thrombin	WT	brca
TCGA-IA-A40X	0	WT	142.98293	Thrombin	WT	kirp
TCGA-DD-A73C	0	WT	-303.44105	Thrombin	WT	lihc
TCGA-KN-8423	0	WT	-834.05478	Thrombin	WT	kich
TCGA-B8-4622	0	WT	1409.55808	Thrombin	WT	kirc
TCGA-EL-A3GV	0	WT	234.80782	Thrombin	WT	thca
TCGA-C8-A1HF	0	WT	939.73140	Thrombin	WT	brca
TCGA-55-6975	0	WT	320.19810	Thrombin	WT	luad
TCGA-CN-4735	0	WT	1041.26162	Thrombin	WT	hnsc
TCGA-QR-A7IP	0	WT	-1374.71648	Thrombin	WT	pcpg
TCGA-EW-A1IZ	0	WT	2031.78625	Thrombin	WT	brca
TCGA-69-7974	0	WT	1577.74119	Thrombin	WT	luad
TCGA-B1-A655	0	WT	556.41921	Thrombin	WT	kirp
TCGA-EJ-5526	0	WT	-596.06136	Thrombin	WT	prad
TCGA-E2-A1L7	0	WT	794.26269	Thrombin	WT	brca
TCGA-EE-A3J7	0	WT	-720.41899	Thrombin	WT	skcm
TCGA-CJ-5680	0	WT	-307.77625	Thrombin	WT	kirc
TCGA-SP-A6QH	0	WT	-502.64155	Thrombin	WT	pcpg
TCGA-BH-A0B3	0	WT	771.52202	Thrombin	WT	brca
TCGA-BH-A0DS	0	WT	493.96635	Thrombin	WT	brca
TCGA-G3-A7M9	0	WT	-971.62086	Thrombin	WT	lihc
TCGA-AA-3518	0	WT	572.06879	Thrombin	WT	coad
TCGA-BT-A2LB	0	WT	816.63477	Thrombin	WT	blca
TCGA-06-5412	0	WT	1554.20973	Thrombin	WT	gbm
TCGA-EL-A3GS	0	WT	-526.54010	Thrombin	WT	thca
TCGA-HI-7168	0	WT	-1186.96146	Thrombin	WT	prad
TCGA-CI-6624	0	WT	240.97607	Thrombin	WT	read
TCGA-MP-A4TC	0	WT	1139.86142	Thrombin	WT	luad
TCGA-DU-8164	0	WT	-1502.90181	Thrombin	WT	lgg
TCGA-CJ-4884	0	WT	1629.40851	Thrombin	WT	kirc
TCGA-BC-A69H	0	WT	389.06436	Thrombin	WT	lihc
TCGA-EL-A4KG	0	WT	457.10273	Thrombin	WT	thca
TCGA-EJ-7317	0	WT	-1316.65619	Thrombin	WT	prad
TCGA-CR-7401	0	WT	211.68601	Thrombin	WT	hnsc
TCGA-B6-A40C	0	WT	101.88302	Thrombin	WT	brca
TCGA-EM-A2CJ	0	WT	-1168.73047	Thrombin	WT	thca
TCGA-B0-4846	0	WT	1338.62622	Thrombin	WT	kirc
TCGA-CV-5440	0	WT	-522.82056	Thrombin	WT	hnsc
TCGA-B0-4814	0	WT	313.10229	Thrombin	WT	kirc
TCGA-BH-A1FM	0	WT	-472.24490	Thrombin	WT	brca
TCGA-CN-6022	0	WT	815.87456	Thrombin	WT	hnsc
TCGA-E9-A22B	0	WT	-62.41063	Thrombin	WT	brca
TCGA-EJ-7783	0	WT	-219.53806	Thrombin	WT	prad
TCGA-27-2524	0	WT	489.66348	Thrombin	WT	gbm
TCGA-DD-A4NH	0	WT	409.75197	Thrombin	WT	lihc
TCGA-FK-A3SH	0	WT	-695.86811	Thrombin	WT	thca
TCGA-BH-A18K	0	WT	-693.71756	Thrombin	WT	brca
TCGA-27-2521	0	WT	-897.68113	Thrombin	WT	gbm
TCGA-E8-A418	0	WT	-0.30649	Thrombin	WT	thca
TCGA-E2-A10C	0	WT	686.16081	Thrombin	WT	brca
TCGA-DK-A1AB	0	WT	509.17372	Thrombin	WT	blca
